id,catalog_title,catalog_first_author,has_arxiv,b1_id_exists,b2_metadata_match,b2_title_match,b2_author_match,b3_jaccard,rs_l1_verdict,rs_l1_error
J3,TRIZ Agents: A Multi-Agent LLM Approach for TRIZ-Based Innovation,,True,EXISTS,MISMATCH,True,False,1.0,PARTIAL,venue_missing
J4,TRIZ for Software Architecture,Kluender,False,SKIP,SKIP,,,SKIP,,No
J5,AI-driven FMEA: Integration of Large Language Models for Faster and More Accurate Risk Analysis,,False,SKIP,SKIP,,,SKIP,,No
J6,One for All: A General Framework of LLMs-based Multi-Criteria Decision Making on Human Expert Level,,True,EXISTS,MISMATCH,True,False,1.0,EXACT,
J7,Six Thinking Hats and Design Creativity,,False,SKIP,SKIP,,,SKIP,,No
J8,LLM + DDD — Eric Evans experiment,Eric Evans,False,SKIP,SKIP,,,SKIP,,No
J9,Human analogical guidance amplifies LLM performance through cross-domain knowledge activation,,False,SKIP,SKIP,,,SKIP,EXACT,
K1a,Benchmarking LLMs' Swarm intelligence,,True,EXISTS,MISMATCH,True,False,1.0,PARTIAL,title_informal
K1b,MAS Swarm Intelligence,,True,EXISTS,MISMATCH,False,False,0.167,EXACT,
K3,LLM-Based MAS for Software Engineering Survey,,False,SKIP,SKIP,,,SKIP,N/A,
K4,An LLM-assisted approach to designing software architectures using ADD,,True,EXISTS,MISMATCH,True,False,1.0,EXACT,
K5,CodeAgents: A Token-Efficient Framework for Codified Multi-Agent Reasoning in LLMs,,True,EXISTS,MISMATCH,True,False,1.0,EXACT,
K6,Rethinking Bounds of LLM Reasoning,,False,SKIP,SKIP,,,SKIP,EXACT,
